SQ_CANDIDATO,AA_ELEICAO,cd_cargo,total_receita,total_despesa,saldo_campanha,n_fontes_receita,n_origens_despesa,despesa_adesivos,despesa_impressos,despesa_pessoal,despesa_tv,despesa_radio,razao_despesa_receita,pct_despesa_marketing,is_prefeito,is_vereador,competitividade,qt_candidato,qt_vagas,qt_eleitores,eleitores_por_candidato,municipio_encoded,prefeito_despesa_adesivos,competitividade_marketing,investimento_por_eleitor,investimento_por_idhm,foco_municipios_desenvolvidos,foco_municipios_carentes,foco_urbano,foco_rural,foco_alta_densidade,foco_baixa_escolaridade,infraestrutura_desenvolvida,municipio_rico,eleito,apoio_politico,aquisicoes_bens,comunicacao_correspondencia,diversos,gestao_administrativa,infraestrutura_basica,materiais_graficos_sonoros,midia_propaganda,mobilizacao_humana,pesquisa_eleitoral,idhm,pib_per_capita,habitantes,total_receitas_brutas_ibge,NR_PARTIDO,QT_VOTOS_NOMINAIS_VALIDOS,eleitores,vagas
220000849057,2020.0,13.0,30259.8,21993.75,8266.05,2.0,10.0,957.5,2776.5,0.0,0.0,0.0,0.7268306466004402,16.97755044046604,0.0,1.0,16.692307692307693,217.0,13.0,61182.0,281.9447004608295,51,0.0,283.39449581393313,0.3594807296263607,16077.43125,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,4184.0,1786.25,1613.5,2160.0,500.0,11750.0,0.0,0,0,0,0,0,0,10000,10
220000849063,2020.0,13.0,16199.6,11476.82,4722.780000000001,2.0,6.0,465.0,565.0,0.0,0.0,0.0,0.708463171930171,8.974611434177762,0.0,1.0,16.692307692307693,217.0,13.0,61182.0,281.9447004608295,51,0.0,149.80697547819804,0.1875849105946193,8389.555419999999,0,1,0,0,1,0,0,1,0,3000.0,0.0,0.0,1680.0,83.0,1093.82,120.0,0.0,5500.0,0.0,0,0,0,0,0,0,10000,10
220000849058,2020.0,13.0,4259.8,2000.0,2259.8,2.0,1.0,0.0,0.0,0.0,0.0,2000.0,0.4695056105920465,100.0,0.0,1.0,16.692307692307693,217.0,13.0,61182.0,281.9447004608295,51,0.0,1669.2307692307693,0.0326893530777025,1462.0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0,0,0,0,0,0,10000,10
220000849059,2020.0,13.0,3000.0,3000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,16.692307692307693,217.0,13.0,61182.0,281.9447004608295,51,0.0,0.0,0.0490340296165538,2193.0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0,0,0,0,0,0,10000,10
220000849062,2020.0,13.0,8000.0,5045.0,2955.0,2.0,4.0,810.0,0.0,0.0,0.0,0.0,0.630625,16.05550049554014,0.0,1.0,16.692307692307693,217.0,13.0,61182.0,281.9447004608295,51,0.0,268.0033544255547,0.0824588931385047,3687.895,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,145.0,950.0,950.0,0.0,3000.0,0.0,0,0,0,0,0,0,10000,10
220000849061,2020.0,13.0,11659.6,6140.0,5519.6,2.0,4.0,110.0,640.0,0.0,0.0,0.0,0.5266046862671103,12.214983713355048,0.0,1.0,16.692307692307693,217.0,13.0,61182.0,281.9447004608295,51,0.0,203.89626659984967,0.1003563139485469,4488.34,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,41.8,0.0,750.0,0.0,5348.2,0.0,0,0,0,0,0,0,10000,10
220000849064,2020.0,13.0,12389.6,5840.9,6548.700000000001,2.0,3.0,0.0,820.0,0.0,0.0,0.0,0.4714357202815264,14.038932356314952,0.0,1.0,16.692307692307693,217.0,13.0,61182.0,281.9447004608295,51,0.0,234.34217856310343,0.0954676211957765,4269.697899999999,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,20.9,0.0,820.0,0.0,5000.0,0.0,0,0,0,0,0,0,10000,10
220000849065,2020.0,13.0,11019.6,4843.6,6176.0,2.0,6.0,190.0,320.0,0.0,0.0,300.0,0.439544085084758,16.723098521760672,0.0,1.0,16.692307692307693,217.0,13.0,61182.0,281.9447004608295,51,0.0,279.1471060940051,0.0791670752835801,3540.6716,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,620.0,104.5,240.0,600.0,300.0,2979.1,0.0,0,0,0,0,0,0,10000,10
220000791798,2020.0,13.0,5380.0,2080.0,3300.0,1.0,3.0,0.0,1000.0,0.0,0.0,0.0,0.3866171003717472,48.07692307692308,0.0,1.0,11.909090909090908,131.0,11.0,17465.0,133.3206106870229,45,0.0,572.5524475524476,0.1190953335241912,1343.68,1,0,0,0,1,0,0,1,1,0.0,0.0,0.0,0.0,200.0,700.0,1180.0,0.0,0.0,0.0,0,0,0,0,0,0,10000,10
220001136375,2020.0,13.0,2487.46,800.0,1687.46,2.0,5.0,0.0,0.0,600.0,0.0,0.0,0.3216132118707436,0.0,0.0,1.0,9.545454545454543,105.0,11.0,13510.0,128.66666666666666,14,0.0,0.0,0.0592153960029607,548.0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,20.0,630.0,0.0,0.0,0.0,150.0,0.0,0,0,0,0,0,0,10000,10
